,date,title,source,contents,link
229,2016.10.27.,"대전유성서, 2016 대전 사이언스 페스티벌 교통통제",국제뉴스,"(대전=국제뉴스) 이병성 기자 = 대전유성경찰서는 10월22일부터 10월25일까지 4일간, 유성구 대전컨벤션센터 및 무역전시관 등 유성구 일원에서 개최된 '2016 대전 사이언스 페스티벌' 관련 교통통제 및 교통관리를...",http://www.gukjenews.com/news/articleView.html?idxno=580148
230,2016.10.18.,대전 CMB 인터넷 뉴스 [네트워크]이츠대전뉴스,CMB대전방송,전국이 축제로 들썩이는 축제의 계절 가을을 맞아 대전시가 첨단과학도시 대전을 대표하는 ‘2016 대전사이언스페스티벌’과 와인을 매개로 한 축제 ‘2016 대전국제와인페어’를 개최합니다. ‘과학과 문화의 융합...,http://www.cmbdj.co.kr/ab-991-6604
231,2016.10.17.,대전 CMB 인터넷 뉴스 [리포트][네트워크] 이츠대전뉴스,CMB대전방송,대전사이언스페스티벌 기간 동안 대덕특구의 주요 연구기관을 직접 방문해볼 수 있는 기회가 마련됩니다. 대전시 인터넷방송 송규아 아나운서가 전해드립니다....,http://www.cmbdj.co.kr/ab-991-6587
232,2016.10.07.,"'과학의 도시' 대전, 과학 축제는 '따로국밥'",연합뉴스,중앙과학관의 '사이언스 데이'와 대전시 주최의 '사이언스 페스티벌'이 그것이다. 주최 기관은 다르지만 대덕연구개발특구 정부출연 연구기관이 참여해 비슷한 성격의 과학 체험 프로그램 위주로 운영한다. 중복되는 두...,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20161006152900063&did=1195m
233,2016.11.20.,[메이드 인 충청］‘사이언스 페스티벌’ 대전을 넘어 세계로,중도일보,"실제로 지난해 세계과학정상회의와 동시에 개최됐던 대전 사이언스페스티벌은 194억40000만원의 생산유발 효과를 낸 것으로 집계됐다. 여기에 90여개의 기관과 단체, 기업들이 의기투합해 130여개의 프로그램을...",http://www.joongdo.co.kr/jsp/article/article_view.jsp?pq=201611201024
234,2016.09.16.,'2016 대전 사이언스페스티벌' 10월 22일 개최,뉴스1,2015 대전사이언스페스티벌 교육프로그램에 참가한 시민들의 모습 ⓒ News1 달 탐사 4D 체험 및 교육프로그램 등 더해져 (대전ㆍ충남=뉴스1) 허수진 기자 = '2016 대전 사이언스페스티벌'이 오는 10월22~25일 4일간...,http://news1.kr/articles/?2775991
235,2016.10.07.,[CMB뉴스][네트워크]이츠대전뉴스,CMB대전방송,대전사이언스페스티벌의 성공적인 개최를 위해 대전시와 관련 기관들이 손을 잡고 적극적인 협력을 약속했습니다. 자세한 소식 대전시 인터넷방송 송규아 아나운서가 전해드립니다. 대전시가 10월 6일 옛 충남도청...,http://www.cmbdj.co.kr/ab-991-6462
236,2016.11.27.,"이택구 대전시 기획조정실장, "" 시정 핵심가치 사업 가시화에 중점""",일요신문,"문화예술분야는 사랍예술단 운영에 136억원 대전문화제단운영 43억원, 컨벤션센터운영에 66억원, 사이언스페스티벌 11억원, 합창단운영 35억원, 문화예술공연 39억원, 교향악단운영 59억원 등을 배정해 시민들이...",http://ilyo.co.kr/?ac=article_view&entry_id=216473
237,2016.09.08.,<대전소식> 엑스포과학공원서 '한가위 놀이 한마당',연합뉴스,사이언스페스티벌 탄소중립형 행사 협약 (대전=연합뉴스) 대전시와 한국에너지공단은 8일 시청 화합실에서 오는 10월 말 열릴 예정인 '2016 대전사이언스페스티벌'을 기후변화 대응과 탄소저감 활동을 위한 '탄소 중립형...,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20160908173800063&did=1195m
238,2016.09.13.,대전시 부산국제관광전서 최우수 부스 운영상,충청투데이,"특히 대전시 홍보관은 ‘2016 대전와인페어’, ‘2016 대전사이언스페스티벌’을 주제로 운영됐으며, 행사기간 와인시음회, SNS 및 다트 등 다양한 이벤트 행사를 펼쳤다.",http://www.cctoday.co.kr/?mod=news&act=articleView&idxno=1004251
